frameNumber,hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
0,680107898,2,3,5,2,159,128
0,680149081,2,3,5,3,64,161
0,680253239,2,3,5,4,215,195
0,682251368,2,3,6,3,84,146
0,684296281,2,3,7,2,136,161
0,689122619,2,3,9,12,45,191
0,690918827,2,3,10,7,149,79
0,701059241,2,3,15,2,80,81
0,715673926,2,3,22,1,81,180
0,717753768,2,3,23,1,13,82
0,719850560,2,3,24,1,12,186
0,720046719,2,3,24,4,10,123
0,738710385,2,4,1,1,211,137
0,738847434,2,4,1,3,234,48
0,744983890,2,4,4,1,141,168
0,749300203,2,4,6,3,105,15
0,749305712,2,4,6,3,127,138
0,749306700,2,4,6,3,131,174
0,749415061,2,4,6,5,42,101
0,753466802,2,4,8,2,253,72
0,758224239,2,4,10,11,149,139
0,760064633,2,4,11,7,170,129
0,791143199,2,4,26,1,227,219
0,793229235,2,4,27,1,183,71
1,4531426,0,1,3,5,220,24
1,6446767,0,1,4,2,162,75
1,6470243,0,1,4,2,70,151
1,6566793,0,1,4,4,205,113
1,6572189,0,1,4,4,184,93
1,6601652,0,1,4,4,69,70
1,6604955,0,1,4,4,56,95
1,8528582,0,1,5,2,222,52
1,8613989,0,1,5,3,144,149
1,10724809,0,1,6,3,91,49
1,12656831,0,1,7,1,224,59
1,12849415,0,1,7,4,239,243
1,14930324,0,1,8,3,47,102
1,14945524,0,1,8,4,244,6
1,14955698,0,1,8,4,204,72
1,14961384,0,1,8,4,182,18
1,14988926,0,1,8,4,74,124
1,14995665,0,1,8,4,48,41
1,14998994,0,1,8,4,35,40
1,71634265,0,2,3,5,243,161
1,75657912,0,2,5,2,142,66
1,75674740,0,2,5,2,76,134
1,75771804,0,2,5,4,209,94
1,75778731,0,2,5,4,182,79
1,75807934,0,2,5,4,68,60
1,75810478,0,2,5,4,58,76
1,77803085,0,2,6,3,210,173
1,77855143,0,2,6,3,7,83
1,79934045,0,2,7,3,78,157
1,81871427,0,2,8,1,190,183
1,84159823,0,2,9,4,211,171
1,84160773,0,2,9,4,207,245
1,84167737,0,2,9,4,180,193
1,84192080,0,2,9,4,85,170
1,84205860,0,2,9,4,31,214
1,86228951,0,2,10,3,65,35
1,86258164,0,2,10,4,207,6
1,86291641,0,2,10,4,76,65
1,135467422,0,3,1,12,17,92
1,145654112,0,3,6,7,129,154
1,145683061,0,3,6,7,242,133
1,145796976,0,3,6,9,175,138
1,145803448,0,3,6,9,200,66
1,145828223,0,3,6,10,41,123
1,145842832,0,3,6,10,98,106
1,152092120,0,3,9,9,189,34
1,152169374,0,3,9,10,235,92
1,153625803,0,3,10,1,36,47
1,158299335,0,3,12,8,116,51
1,160258564,0,3,13,6,90,246
1,162356466,0,3,14,6,92,8
1,164212386,0,3,15,2,174,88
1,164621162,0,3,15,8,235,144
1,164648998,0,3,15,9,88,212
1,164657271,0,3,15,9,120,131
1,164682260,0,3,15,9,218,230
1,164703391,0,3,15,10,44,91
1,164713572,0,3,15,10,84,150
1,164736715,0,3,15,10,174,47
1,167237138,0,3,16,16,214,232
1,180939128,0,3,23,1,233,130
1,202556849,0,4,1,12,197,73
1,214859586,0,4,7,8,127,184
1,214967828,0,4,7,10,38,230
