batch,track_id,hit_IDs,tids,num_hits,correct_track
72,0,"[10867789, 82179576, 141552849, 4532303]","[129998, 129998, 129998, 129998]",4,1
72,1,"[71467808, 4532303, 150002500, 4367547]","[129998, 129998, 129998, 129998]",4,1
74,0,"[10683266, 82015192, 223909914, 154442374]","[100230, 100230, 127356, 127356]",4,0
74,1,"[739390134, 154442374, 223608662, 10776894]","[117912, 127356, 127356, 127356]",4,0
74,2,"[162361332, 160262661, 449358131, 524880335]","[100230, 100230, 100230, 100230]",4,1
75,0,"[708010726, 779244359, 10835443, 8736006, 271312, 67378637]","[112256, 112256, 112256, 112256, 137640, 137640]",6,0
75,1,"[150228541, 221496502, 150013510, 67378637, 10835443, 221496502]","[137640, 137640, 137640, 137640, 112256, 137640]",6,0
75,2,"[686315084, 757578949, 80026567, 152313871, 8669598, 77877120]","[137640, 137640, 112256, 112256, 137640, 137640]",6,0
75,3,"[708010726, 757578949, 221281474, 271312, 416867041, 80026567]","[112256, 137640, 137640, 137640, 80693, 112256]",6,0
76,0,"[168368362, 166271744, 152211935, 221407286]","[101076, 101076, 91961, 91961]",4,0
77,0,"[10844137, 80041356, 156450099, 227742732]","[129901, 129901, 129901, 129901]",4,1
78,0,"[4636469, 73834365, 139711019, 208902002]","[135308, 135308, 135308, 135308]",4,1
79,0,"[206921, 69432262, 206921, 256721731, 181292901, 256721731]","[104684, 104684, 104684, 104684, 104684, 104684]",6,1
79,1,"[738918467, 696939691, 258939, 67359807]","[113130, 134670, 113130, 113130]",4,0
79,2,"[441133316, 447553336, 517080506, 435375810, 491246875, 258939]","[142498, 142498, 135288, 135288, 104684, 113130]",6,0
79,3,"[177234748, 696939691, 213028294, 443229941]","[113130, 134670, 134670, 142498]",4,0
80,0,"[437730084, 511104949, 75822352, 149934560, 6607660, 149934560]","[129989, 129989, 129989, 129989, 129989, 129989]",6,1
81,0,"[218805345, 2498498, 151677611, 2498498, 69625664, 135333669]","[131693, 131693, 131693, 131693, 131693, 131693]",6,1
82,0,"[505885132, 8516536, 705283372, 778645890]","[57084, 57084, 122653, 122653]",4,0
83,0,"[152347326, 223612096, 77894074, 225728171]","[145413, 145413, 145413, 145413]",4,1
84,0,"[143498366, 212653416, 4386560, 73467937]","[61342, 61342, 61342, 61342]",4,1
