tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
4172359,[19.19828247],[17.21987669],[-0.24864836],[1.38403473],6,[],0
4172495,[27.23114486],[24.52683033],[-0.2439135],[0.93646914],7,"[71618512, 426880816, 202300421, 135246191]",4
4173105,[28.67015664],[12.63879966],[-0.61191579],[0.90741408],4,[],0
4173138,[24.32447146],[24.25522325],[-0.03691383],[-0.00061426],7,[],0
4173144,[20.48487884],[19.33302727],[0.19137457],[0.87902085],6,[],0
4173911,[21.24019002],[20.39888925],[-0.15145269],[1.5276988],4,[],0
4174006,[22.40028266],[22.26490402],[-0.05602382],[0.10015936],18,"[77699520, 145341505, 214519424, 8495552, 67232389, 212432518, 122023, 145626153, 143260938, 145358325]",10
4174117,[26.93818561],[24.9862153],[0.2168776],[1.54297039],9,"[6624441, 145976526, 75953350, 215167149]",4
4174622,[9.30250673],[8.4887399],[0.23815441],[-0.73487629],5,[],0
4174811,[22.44801389],[22.43330137],[-0.01517818],[-0.54152085],14,[],0
4174838,[24.59575418],[23.13575689],[0.19654318],[0.89978553],10,[],0
4174857,[23.90126094],[15.9855845],[-0.45909882],[-0.31417205],4,[],0
4175767,[24.35512154],[17.05157833],[0.44504941],[1.66692319],5,[],0
4176445,[19.35995998],[18.6014613],[0.1603251],[-1.2223472],9,[],0
4176553,[18.85060956],[18.55924487],[0.10231491],[1.56783082],20,"[13041444, 15134343, 145695495, 86395385, 216972719, 238157584, 15111057, 86414483, 86434196, 147792629, 166893910, 84322931, 86390201, 84344666, 6472284, 75674975]",16
4176561,[20.52064384],[17.95238676],[0.28477969],[0.24322277],29,[],0
4177399,[6.29087666],[6.27717769],[-0.03168306],[-0.84708064],45,[],0
4177516,[28.84136763],[23.25393176],[-0.34550464],[1.64017118],5,[],0
4178343,[18.43979751],[6.50322069],[-0.66514858],[0.52528361],6,[],0
4178424,[23.10148485],[20.39594332],[-0.26571928],[0.16020375],6,"[481482072, 175063241, 67312077]",3
4178948,[13.86656023],[13.68292646],[-0.08532718],[-0.23647139],24,"[248395648, 6367881, 139344149, 208915605, 244249111, 250936600, 141567640, 170886556, 172927263, 86179361, 6613413, 175200936, 206424366, 67404213, 75575993, 298945, 141847233, 75823560, 139865929, 84119902, 206937952, 12811121, 208639607]",23
4179136,[17.18793537],[16.59696452],[0.15044296],[0.15349027],6,[],0
4179153,[17.95392388],[16.54013382],[0.22600943],[1.54264628],6,[],0
4179169,[25.83901293],[24.40287661],[-0.18055242],[1.39378865],6,"[143692837, 6557007, 75770225, 212851250, 504754388, 431371038]",6
4179273,[24.60291719],[24.34938209],[-0.07467094],[-0.94528079],6,[],0
4179648,[28.09141275],[14.37645656],[-0.56723507],[1.47983429],4,[],0
4179860,[17.69538104],[16.36431069],[0.22093939],[-0.23071377],6,[],0
4180456,[8.67568664],[8.44603718],[0.13253111],[-0.22357294],9,[],0
4180738,[19.65208149],[18.6928682],[0.17852548],[1.19778124],8,"[6442697, 232288571, 680020317, 73543702]",4
4181785,[28.99108106],[28.43500253],[-0.10372459],[-1.23897464],4,[],0
4181793,[21.21133988],[20.7501258],[-0.11077981],[-1.42073269],9,"[77917696, 152050208, 172534163, 223310693]",4
4181842,[22.79740179],[22.76485769],[0.03444425],[0.3338358],11,"[69575888, 254903964, 179436919]",3
4182458,[18.23001025],[18.22813809],[-0.00306956],[1.54550255],49,"[172776960, 6432386, 208518915, 75570308, 141520259, 14928261, 86231687, 6449031, 248245385, 75744645, 246298764, 75596179, 208508699, 172960925, 208491040, 6392224, 170895400, 75637676, 75655343, 208576052, 208594484, 172891195, 246327357, 86129216, 172878529, 14825282, 248358085, 75599046, 141444424, 246358219, 141537109, 86084185, 172929756, 6363229, 141429342, 6538588, 246245991, 86175848, 14873962, 6390379, 67203566, 141417327, 174874095, 210616561, 95219, 141498487]",46
4182460,[28.19655887],[27.87463369],[0.08858681],[-0.0447015],7,[],0
4182651,[23.49243356],[20.96606163],[0.26393286],[-1.04251002],6,[],0
4182667,[23.32014176],[23.19569753],[0.06207409],[0.18675656],73,"[179272323, 206539783, 250754824, 204896009, 69449480, 254740106, 139414796, 206689421, 181554060, 2295312, 254752377, 257208979, 2240027, 71597468, 67442717, 2434849, 181591970, 139594916, 257019815, 139468584, 73544360, 257063593, 73604011, 181530797, 146200110, 208811055, 206587184, 137829937, 69546547, 69532468, 146086581, 256993972, 256942773, 181474233, 206794940, 208589245, 73640384, 139614656, 69346115, 206645828, 139513422, 4531155, 179289172, 73697751, 179560029, 139726050, 179442276, 141563621, 71546604, 206669421, 4337905, 179351666, 208637173, 73732982, 206993399, 139573366, 141512185, 255020150, 181730942, 141729663]",60
4182721,[21.0015707],[14.30630289],[-0.44981411],[1.385127],6,[],0
4183930,[23.50870148],[22.69011347],[0.15136657],[0.00279077],6,[],0
4183941,[23.46403607],[22.88748777],[-0.11809775],[0.23810454],7,"[2267378, 252551267, 69380548, 177097487]",4
4183950,[22.45815909],[20.03236148],[0.26451546],[1.52504744],6,[],0
4183976,[11.39594251],[9.87150205],[0.29450053],[1.31847489],6,[],0
4184751,[22.14234746],[14.32087203],[-0.47531262],[-0.32916339],6,[],0
4186327,[16.67464382],[16.67003439],[-0.00815242],[1.04733694],32,"[258810337, 166586300, 169142640, 183357882, 71456436, 83996981, 183438484, 71420855, 257272633, 242503002, 168894620, 86366141, 258900958, 256736313]",14
4186328,[23.66410779],[19.47158745],[-0.32970369],[-0.33516807],10,[],0
4187287,[13.43156389],[13.27683208],[-0.07924424],[0.85130952],6,"[206476517, 153875027, 137314196, 71550809, 4438751]",5
4187459,[17.2422717],[10.11773734],[0.52725751],[-0.8401186],7,[],0
4187972,[19.08696062],[12.97340353],[0.46068164],[1.06665205],6,[],0
4187973,[22.82318894],[22.81347428],[-0.01128733],[-0.66300228],23,"[671995384, 135227785, 71442488, 795670084]",4
4188390,[21.13097787],[19.27001008],[0.23891692],[1.25586981],5,[],0
4189200,[14.52287777],[11.07532175],[-0.38454988],[1.27591708],5,[],0
4189374,[17.93392836],[16.9771916],[0.18649139],[-0.57018465],9,[],0
4189446,[13.47214647],[11.01943528],[0.34419232],[0.95987887],7,[],0
4189583,[18.47307792],[18.34079233],[0.07114909],[1.56676148],19,"[84099683, 8631750, 164865864, 77841868, 77843408, 12800048, 147804499, 235948917, 147846839, 148093498, 219065821]",11
4189719,[2.8017671],[1.73773088],[0.50443501],[-0.2786339],4,[],0
4190149,[25.7307185],[22.43697791],[0.28801619],[1.31648042],6,[],0
4190315,[26.080859],[17.33706541],[0.47184864],[0.59120312],6,[],0
4190330,[15.88385291],[14.62090927],[-0.21737311],[0.18302363],6,"[145307216, 338042, 67456838, 214499250]",4
4190367,[16.92692077],[16.89252381],[-0.03043191],[0.60032197],67,"[2192771, 77749508, 149836168, 258796557, 216795150, 219072525, 258839314, 2186135, 8512663, 149897241, 216890397, 77678879, 69304608, 219010976, 2190378, 258894250, 2225196, 77695405, 149798575, 135040688, 69368114, 258839730, 69477430, 202175161, 71431865, 71396282, 8544313, 147701561, 69295422, 218971840, 69423682, 183343684, 147573700, 221241288, 77669706, 8474187, 135151820, 183334476, 4285903, 147758927, 214657361, 183374933, 152066008, 202120538, 8487898, 183430620, 216871005, 149716705, 183506147, 183374820, 77717093, 149814761, 8466540, 202229875, 79846901, 71393144, 77690746]",57
4190378,[19.79971134],[18.22048371],[0.22744619],[1.41730976],6,[],0
4191243,[27.07702841],[27.01761339],[-0.03181211],[-0.43651008],14,[],0
4191266,[9.88143916],[7.59096886],[0.38949793],[1.35150449],5,[],0
4192181,[20.35910974],[10.51568509],[-0.56419913],[-0.91191231],6,[],0
4192191,[21.50788841],[12.2822311],[-0.52820134],[-0.89345733],4,[],0
4192262,[26.70187303],[26.14903658],[0.11769604],[-1.51998703],8,[],0
4193015,[6.57454101],[6.16659392],[-0.19120906],[-1.48267867],6,[],0
4193277,[25.81656842],[25.62156909],[0.07294007],[-1.06475541],4,[],0
4193304,[28.95119319],[28.52333484],[-0.0904167],[1.27859183],7,[],0
4193315,[11.77364437],[11.76767524],[-0.01276503],[1.37032559],5,[],0
4193926,[10.45693375],[9.32775687],[0.26451095],[-0.83319895],6,[],0
4195007,[25.70132232],[24.2516523],[-0.18193556],[0.24899152],6,[],0
4196506,[11.72696673],[11.35654869],[0.14437452],[0.59151735],20,"[175081574, 158688265, 175347851, 231850648, 238468141, 82225910, 160785656, 158493723, 232049788]",9
4197289,[10.37919053],[6.97828122],[0.46626755],[0.53154026],5,[],0
4197290,[24.86980388],[24.53725979],[-0.08575755],[1.60595502],7,[],0
4197291,[23.23782937],[22.95280767],[-0.08192147],[-0.2918019],7,[],0
4197543,[18.42453932],[13.69108292],[0.41068496],[-0.87357518],6,[],0
4197583,[12.90824523],[12.6815109],[-0.09904665],[-1.66957233],14,[],0
4198015,[20.40366796],[18.03888586],[0.27401413],[0.1145246],11,[],0
4199104,[27.04274656],[22.82387057],[0.31822272],[-1.50573748],8,[],0
4199602,[28.17222561],[10.64065679],[-0.65023153],[0.33527523],4,[],0
4200705,[8.62257881],[7.51642064],[-0.27865742],[1.31890768],7,"[252301274, 181148202, 73506275]",3
4200707,[24.96939982],[20.63430062],[-0.32622677],[-0.90852727],7,[],0
4201007,[27.93286826],[24.82143721],[-0.25888552],[-1.12101973],6,[],0
4201048,[20.21956375],[19.45958393],[0.15711174],[0.08830757],7,[],0
4201512,[21.77131867],[16.93035365],[-0.37148047],[0.21099734],6,[],0
4201640,[26.07392049],[14.89465763],[0.53778904],[-0.05066726],4,[],0
4201698,[26.09194697],[24.75080959],[-0.17338085],[0.34424308],6,[],0
4201744,[12.37326783],[7.89160109],[0.49156324],[-1.20753396],5,[],0
4202000,[20.11777434],[14.8648692],[-0.4044127],[0.62539193],6,[],0
4202994,[16.24122361],[13.89542677],[0.30608673],[-0.58358461],6,"[168950875, 242344558, 86298167]",3
