frame_array,tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,batch,track_id,hit_IDs,tid,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits_y,correct_track
94,150180,[5.6891705],[1.82841397],[0.69350892],[-0.26820989],6,,,,,,,,,,
95,150449,[16.02296127],[8.24528002],[-0.56545885],[0.33078777],6,,,,,,,,,,
95,86268,[21.25151542],[14.49291049],[0.45895911],[1.65666294],7,,,,,,,,,,
96,151680,[19.92453305],[19.91700965],[-0.01034852],[-0.890776],62,,,,,,,,,,
97,146392,[23.75530309],[20.91355339],[0.27839046],[0.51929699],6,,,,,,,,,,
97,152783,[26.27319441],[26.26768342],[-0.00647383],[-0.73259725],36,,,,,,,,,,
97,142896,[8.50297385],[6.66617854],[0.37566022],[1.29306935],4,,,,,,,,,,
97,152784,[27.17715616],[27.16399848],[0.0220887],[0.90372469],31,,,,,,,,,,
98,151882,[16.32612979],[14.04324031],[0.30112635],[-0.14475038],8,,,,,,,,,,
99,151852,[28.50471327],[15.7931067],[-0.53957076],[0.10007049],5,,,,,,,,,,
99,145630,[24.47831136],[24.46279175],[-0.01484822],[1.50982095],24,,,,,,,,,,
99,102805,[22.66106165],[20.75923176],[-0.22353426],[-1.33130263],7,,,,,,,,,,
100,145612,[19.61192562],[8.72278025],[-0.60951365],[0.67364849],6,,,,,,,,,,
100,155088,[14.02193929],[12.58735323],[-0.24773097],[1.42743877],12,,,,,,,,,,
100,125665,[15.41095867],[9.80799698],[-0.4827955],[-0.89062593],9,,,,,,,,,,
100,134596,[19.00054262],[9.48541269],[-0.57531696],[-0.59288568],6,,,,,,,,,,
100,122605,[24.69948311],[20.8360178],[-0.3089221],[1.41348233],5,,,,,,,,,,
101,141771,[15.47895928],[15.46598569],[0.02752958],[0.78125803],37,,,,,,,,,,
101,156121,[15.79381907],[14.80142306],[0.20214297],[-1.47503079],9,,,,,,,,,,
103,122578,[27.24823162],[27.22312883],[-0.01889799],[-0.3926237],18,,,,,,,,,,
104,9847,[17.82171126],[12.92045244],[-0.41571989],[0.84998706],4,,,,,,,,,,
104,146345,[18.31427466],[16.00904903],[0.28560048],[0.38100404],4,,,,,,,,,,
105,160042,[20.74923824],[20.74707252],[0.01286152],[-1.13567443],38,,,,,,,,,,
105,153080,[23.98539512],[18.15422979],[-0.38939709],[-0.49987973],5,,,,,,,,,,
105,148062,[25.06280681],[23.20502904],[0.21932987],[-1.51222378],4,,,,,,,,,,
106,158097,[15.89609665],[14.50444645],[0.23822132],[0.71256044],6,,,,,,,,,,
106,151933,[21.83091053],[20.92797719],[0.16462193],[-0.38647307],8,,,,,,,,,,
106,110513,[14.52366477],[10.49582346],[0.42731714],[-0.60072111],6,,,,,,,,,,
107,161598,[8.71443721],[6.66402304],[0.39252307],[1.31864553],6,,,,,,,,,,
107,142710,[21.94337921],[21.87579962],[0.04831775],[0.77627229],8,,,,,,,,,,
107,138824,[21.5002842],[18.4488727],[-0.29365273],[-0.96360052],7,,,,,,,,,,
107,147072,[24.97572514],[21.26847772],[-0.30059231],[0.81668104],6,,,,,,,,,,
108,162546,[16.11117643],[15.90634229],[0.0932284],[0.52738754],16,,,,,,,,,,
108,159658,[12.03511474],[11.31899931],[0.19679536],[-1.45810478],9,,,,,,,,,,
109,123414,[12.71471174],[12.51967193],[-0.09222358],[0.70330461],6,,,,,,,,,,
109,105763,[20.20102797],[10.64289191],[-0.55749116],[-1.66168578],6,,,,,,,,,,
109,162734,[27.26697918],[26.10461055],[0.16706774],[1.13536948],5,,,,,,,,,,
109,148771,[26.64887693],[25.55141902],[0.16427182],[-0.31520932],4,,,,,,,,,,
110,161030,[23.42359934],[21.23285199],[-0.23644537],[0.40726564],6,,,,,,,,,,
111,165391,[29.19997579],[17.17522993],[-0.51654324],[0.39757686],4,,,,,,,,,,
112,127343,[16.69665401],[16.57962671],[-0.06071458],[0.13002615],33,,,,,,,,,,
112,159502,[19.84312082],[16.96336332],[0.30681691],[0.08471836],6,,,,,,,,,,
112,133397,[22.46121054],[18.18434954],[-0.34239563],[0.42608341],7,,,,,,,,,,
112,163583,[27.36784425],[22.62014774],[-0.32608691],[-0.3090949],8,,,,,,,,,,
113,167267,[17.92700752],[17.82502035],[0.06393797],[1.00256125],14,,,,,,,,,,
113,155374,[23.0194023],[22.79157197],[-0.07307936],[1.72443899],6,,,,,,,,,,
113,168166,[19.10403108],[14.43919649],[-0.39031107],[0.57473985],7,,,,,,,,,,
114,111763,[17.42323563],[8.49005395],[-0.58291943],[0.43051432],5,,,,,,,,,,
114,33314,[26.72500472],[25.36706501],[-0.17234765],[1.25334051],6,,,,,,,,,,
114,140269,[14.8811339],[12.97775256],[0.28792028],[-0.7824627],4,,,,,,,,,,
115,169426,[25.07970236],[22.22394371],[-0.26186294],[1.65826179],8,,,,,,,,,,
115,135365,[25.10666065],[23.59951667],[-0.18790489],[-0.29916491],6,,,,,,,,,,
116,165346,[19.0481977],[15.57550417],[0.3444171],[1.21548725],7,,,,,,,,,,
117,115231,[10.74277701],[7.58393475],[-0.43083922],[-0.94314142],5,,,,,,,,,,
118,166296,[8.71333984],[8.65929337],[-0.05683148],[1.71185956],24,,,,,,,,,,
118,72320,[27.56601906],[26.45426272],[0.16260344],[-0.13440326],6,,,,,,,,,,
118,172281,[13.22265057],[13.18616154],[-0.03627167],[0.02835913],5,,,,,,,,,,
119,146377,[23.30963741],[17.09404317],[-0.40894107],[0.28368131],6,,,,,,,,,,
120,173350,[11.3859897],[11.15824553],[0.11577408],[-0.14721152],13,,,,,,,,,,
121,165370,[23.25974111],[22.88198717],[-0.09503298],[-1.29288566],4,,,,,,,,,,
122,175573,[23.79629253],[14.8000044],[-0.49308232],[-1.65008519],6,,,,,,,,,,
123,147068,[21.07909958],[19.41663949],[-0.21645134],[-0.41505623],4,,,,,,,,,,
