tid,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
146377.0,[23.30963741],[17.09404317],[-0.40894107],[0.28368131],6,"[413905731, 254630323, 179204477, 69409158]",4
146392.0,[23.75530309],[20.91355339],[0.27839046],[0.51929699],6,"[69482408, 181567570, 257058602]",3
147145.0,[17.14872406],[14.51722542],[-0.30586387],[-1.24349397],7,"[79787812, 229364681, 158121961, 10566523, 443786716]",5
149432.0,[13.41051885],[12.12990367],[-0.23902901],[1.48274114],6,"[147604690, 216748381, 75626866]",3
150586.0,[16.30758591],[16.2295543],[0.05903797],[0.68127082],32,"[135509120, 10652038, 223309191, 154234522, 80077870, 71385909, 79851574, 137605688, 135218364, 153807549, 4272062, 137216578, 71461323, 223519314, 2256983, 223404640, 154461282, 206763619, 135392229, 71677166, 204684784, 206380144, 10869874, 154348671]",24
151680.0,[19.92453305],[19.91700965],[-0.01034852],[-0.890776],62,"[135323400, 4650890, 204649227, 137575563, 204234129, 154233106, 206888086, 8708887, 204345240, 4270233, 71758363, 209209245, 4502430, 71377184, 4401057, 154179364, 71610406, 135495464, 137719342, 71513394, 135267122, 8716597, 80010166, 154012983, 10798264, 10748604, 153928125, 215536445, 10570691, 73800135, 204665287, 219554376, 150368586, 4591438, 80020436, 137537754, 154200795, 79955036, 80005212, 154369758, 140049244, 152297178, 148407264, 204615522, 152205922, 137157093, 137266665, 79777898, 211319275, 142101995, 211282925, 142141931, 137420789]",53
151882.0,[16.32612979],[14.04324031],[0.30112635],[-0.14475038],8,"[86392577, 248786147, 15100163, 745109223, 675955758, 67519729, 421874, 173298009]",8
152783.0,[26.27319441],[26.26768342],[-0.00647383],[-0.73259725],36,"[229745720, 160481257, 82135406, 158475798]",4
155088.0,[14.02193929],[12.58735323],[-0.24773097],[1.42743877],12,"[75710792, 164120388, 485981360]",3
155340.0,[21.33547363],[20.72674125],[-0.12768144],[1.66284186],8,"[6645505, 147949642, 77952745, 219208678]",4
