batch,track_id,hit_IDs,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits,correct_tracks,tid
12,4,"[235933754, 452506983, 84260799, 164683722]","[21.192436608253317, 21.192436608253317, 21, 21]","[19.42823795541444, 19.42823795541444, 19, 19]","[-0.2225977225121097, -0.2225977225121097, 0, 0]","[-0.7255899269611354, -0.7255899269611354, 0, 0]",4,1,66144
13,0,"[4289887, 73502910, 73502910, 135082794, 135082794, 202143570]","[17.61717638248831, 17.61717638248831, 17, 17, 17, 17]","[16.7916186705066, 16.7916186705066, 16, 16, 16, 16]","[-0.1652701497589785, -0.1652701497589785, 0, 0, 0, 0]","[1.2167018089357422, 1.2167018089357422, 1, 1, 1, 1]",6,1,80518
13,8,"[73611207, 164509003, 143454249, 235787892, 14834294, 73611207]","[14.850637680005912, 14.850637680005912, 14, 14, 25, 14]","[14.733801722646524, 14.733801722646524, 14, 14, 24, 14]","[-0.0646204787121565, -0.0646204787121565, 0, 0, 0, 0]","[1.4112947821346442, 1.4112947821346442, 1, 1, 0, 1]",6,1,78084
13,9,"[73611207, 164315830, 143454249, 509095764, 4401353, 73611207]","[14.850637680005912, 14.850637680005912, 14, 17, 14, 14]","[14.733801722646524, 14.733801722646524, 14, 16, 14, 14]","[-0.0646204787121565, -0.0646204787121565, 0, 0, 0, 0]","[1.4112947821346442, 1.4112947821346442, 1, 1, 1, 1]",6,1,78084
13,11,"[86095200, 164315830, 143654787, 214717613, 4401353, 73502910]","[14.850637680005912, 14.850637680005912, 14, 14, 14, 17]","[14.733801722646524, 14.733801722646524, 14, 14, 14, 16]","[-0.0646204787121565, -0.0646204787121565, 0, 0, 0, 0]","[1.4112947821346442, 1.4112947821346442, 1, 1, 1, 1]",6,1,78084
13,13,"[86095200, 143454249, 143654787, 235787892]","[14.850637680005912, 14.850637680005912, 14, 14]","[14.733801722646524, 14.733801722646524, 14, 14]","[-0.0646204787121565, -0.0646204787121565, 0, 0]","[1.4112947821346442, 1.4112947821346442, 1, 1]",4,1,78084
13,14,"[86095200, 143654787, 164315830, 233493266]","[14.850637680005912, 14.850637680005912, 14, 14]","[14.733801722646524, 14.733801722646524, 14, 14]","[-0.0646204787121565, -0.0646204787121565, 0, 0]","[1.4112947821346442, 1.4112947821346442, 1, 1]",4,1,78084
14,0,"[84154976, 166765603, 166765603, 240117811]","[27.569120248214784, 27.569120248214784, 27, 27]","[26.15293778589018, 26.15293778589018, 26, 26]","[-0.17332397452642748, -0.17332397452642748, 0, 0]","[-0.3935026737123421, -0.3935026737123421, 0, 0]",4,1,5259
17,0,"[6409447, 73515843, 73515843, 168625836, 136934721, 204016442]","[21.08968195043892, 21.08968195043892, 21, 21, 21, 21]","[20.990911509738687, 20.990911509738687, 20, 20, 20, 20]","[-0.04872978777666472, -0.04872978777666472, 0, 0, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0, 0, 0]",6,1,84736
17,2,"[12853800, 84159055, 84054190, 139330005, 139330005, 204016442]","[21.08968195043892, 21.08968195043892, 9, 21, 21, 21]","[20.990911509738687, 20.990911509738687, 5, 20, 20, 20]","[-0.04872978777666472, -0.04872978777666472, 0, 0, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0, 0, 0]",6,1,84736
17,3,"[84054190, 136934721, 139330005, 241987496, 12853800, 73515843]","[9.599651348585121, 21.08968195043892, 21, 21, 21, 21]","[5.927847974390851, 20.990911509738687, 20, 20, 20, 20]","[-0.49629479557679984, -0.04872978777666472, 0, 0, 0, 0]","[-0.7731710167715211, -0.4404156448475027, 0, 0, 0, 0]",6,1,84736
17,4,"[84159055, 168892900, 139330005, 242255854, 6409447, 84054190]","[21.08968195043892, 21.08968195043892, 21, 21, 21, 9]","[20.990911509738687, 20.990911509738687, 20, 20, 20, 5]","[-0.04872978777666472, -0.04872978777666472, 0, 0, 0, 0]","[-0.4404156448475027, -0.4404156448475027, 0, 0, 0, 0]",6,1,84736
